rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
1197.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,229,595631,0.0-8.0-3.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,53,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,230,596636,0.0-8.0-0.53,stim/test/noi010_act10_scr0_con0_tri015.mp4,10,10,0,0,15,,,,,
null,,null,video-keyboard-response,231,602840,0.0-8.0-1.53,stim/test/noi010_act10_scr0_con0_tri015.mp4,10,10,0,0,15,,,,,
4430.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,232,607272,0.0-8.0-2.53,stim/test/noi010_act10_scr0_con0_tri015.mp4,10,10,0,0,15,54,A11F3MA5FWH6SJ,10/03/2023,yes,
790.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,233,608063,0.0-8.0-3.53,stim/test/noi010_act10_scr0_con0_tri015.mp4,10,10,0,0,15,54,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,234,609078,0.0-8.0-0.54,stim/test/noi005_act06_scr0_con0_tri033.mp4,5,6,0,0,33,,,,,
null,,null,video-keyboard-response,235,614228,0.0-8.0-1.54,stim/test/noi005_act06_scr0_con0_tri033.mp4,5,6,0,0,33,,,,,
3259.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,236,617488,0.0-8.0-2.54,stim/test/noi005_act06_scr0_con0_tri033.mp4,5,6,0,0,33,55,A11F3MA5FWH6SJ,10/03/2023,no,
1373.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,237,618862,0.0-8.0-3.54,stim/test/noi005_act06_scr0_con0_tri033.mp4,5,6,0,0,33,55,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,238,619870,0.0-8.0-0.55,stim/test/noi010_act10_scr0_con1_tri005.mp4,10,10,0,1,5,,,,,
null,,null,video-keyboard-response,239,626079,0.0-8.0-1.55,stim/test/noi010_act10_scr0_con1_tri005.mp4,10,10,0,1,5,,,,,
783.4,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,240,626863,0.0-8.0-2.55,stim/test/noi010_act10_scr0_con1_tri005.mp4,10,10,0,1,5,56,A11F3MA5FWH6SJ,10/03/2023,yes,
