"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"742.6000000089407","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","177","494726","0.0-8.0-3.39","stim/test/noi010_act01_scr0_con1_tri001.mp4","010","01","0","1","001","40","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","178","495739","0.0-8.0-0.40","stim/test/noi020_act08_scr0_con0_tri012.mp4","020","08","0","0","012","","",""
"null","","null","video-keyboard-response","179","501439","0.0-8.0-1.40","stim/test/noi020_act08_scr0_con0_tri012.mp4","020","08","0","0","012","","",""
"945.5999999940395","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","180","502385","0.0-8.0-2.40","stim/test/noi020_act08_scr0_con0_tri012.mp4","020","08","0","0","012","41","A2PR7FI9TP8XLD","yes"
"1448.8999999910593","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","181","503834","0.0-8.0-3.40","stim/test/noi020_act08_scr0_con0_tri012.mp4","020","08","0","0","012","41","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","182","504837","0.0-8.0-0.41","stim/test/noi005_act10_scr0_con1_tri065.mp4","005","10","0","1","065","","",""
"null","","null","video-keyboard-response","183","511020","0.0-8.0-1.41","stim/test/noi005_act10_scr0_con1_tri065.mp4","005","10","0","1","065","","",""
"1938.2999999970198","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","184","512959","0.0-8.0-2.41","stim/test/noi005_act10_scr0_con1_tri065.mp4","005","10","0","1","065","42","A2PR7FI9TP8XLD","yes"
"915","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","185","513875","0.0-8.0-3.41","stim/test/noi005_act10_scr0_con1_tri065.mp4","005","10","0","1","065","42","A2PR7FI9TP8XLD","4"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","186","514880","0.0-8.0-0.42","stim/test/noi010_act01_scr1_con0_tri016.mp4","010","01","1","0","016","","",""
"null","","null","video-keyboard-response","187","520018","0.0-8.0-1.42","stim/test/noi010_act01_scr1_con0_tri016.mp4","010","01","1","0","016","","",""
"563.2000000029802","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","188","520582","0.0-8.0-2.42","stim/test/noi010_act01_scr1_con0_tri016.mp4","010","01","1","0","016","43","A2PR7FI9TP8XLD","no"
"1252.199999988079","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","189","521834","0.0-8.0-3.42","stim/test/noi010_act01_scr1_con0_tri016.mp4","010","01","1","0","016","43","A2PR7FI9TP8XLD","4"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","190","522840","0.0-8.0-0.43","stim/test/noi020_act05_scr0_con0_tri021.mp4","020","05","0","0","021","","",""
"null","","null","video-keyboard-response","191","529032","0.0-8.0-1.43","stim/test/noi020_act05_scr0_con0_tri021.mp4","020","05","0","0","021","","",""
"822.6000000089407","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","192","529856","0.0-8.0-2.43","stim/test/noi020_act05_scr0_con0_tri021.mp4","020","05","0","0","021","44","A2PR7FI9TP8XLD","no"
